token,driving_direction_compliance_run1,driving_direction_compliance_run2,ego_progress_run1,ego_progress_run2,score_run1,score_run2
c06c4ffcf72653a5,1.0,1.0,1.0,0.6941,1.0,0.8725
dd4483f390725319,1.0,1.0,0.9556,0.3894,0.9815,0.7456
998c6c28d1475e78,1.0,1.0,0.6208,0.6208,0.842,0.842
e367d7a3c3b55302,1.0,1.0,1.0,0.9344,1.0,0.9727
29b49b3e2c0f5ec2,1.0,1.0,0.9587,0.7772,0.9828,0.9071
1bd8492a6487562f,1.0,1.0,0.9904,0.7727,0.996,0.9053
d88fdf29aeed58f5,1.0,1.0,0.8488,0.4622,0.937,0.7759
54c208abe15c56e5,1.0,1.0,1.0,0.6076,1.0,0.8365
697882c22eb65ca7,1.0,1.0,0.8693,0.7932,0.9455,0.9138
c5b585ddf50d5f1f,1.0,1.0,1.0,0.6935,1.0,0.8723
d1065c7c84e054ae,1.0,1.0,1.0,1.0,1.0,1.0
b133316a0e795993,1.0,1.0,0.7698,0.6654,0.9041,0.8606
0727a3cccad352d7,1.0,1.0,1.0,0.5411,1.0,0.8088
f34af4dbbbd35a23,1.0,1.0,1.0,0.7477,1.0,0.8949
dbfc9f81daf956a9,1.0,1.0,1.0,1.0,1.0,1.0
ae07a1ea49135359,1.0,1.0,1.0,0.9287,1.0,0.9703
20024f7ea9635ed8,1.0,1.0,1.0,0.7543,1.0,0.8976
4256146a0b765876,1.0,1.0,1.0,0.7962,1.0,0.9151
5d12ad55fdd858e1,1.0,1.0,0.0,0.0,0.0,0.0
ed3e5181549254bc,1.0,1.0,0.9114,0.5623,0.9631,0.8176
07fb7a73409e53cf,1.0,1.0,0.976,0.7952,0.99,0.9146
5b3bc72c557a5a17,1.0,1.0,0.658,0.658,0.8575,0.8575
36c9f5ba92385cee,1.0,1.0,0.8023,0.7179,0.9176,0.8825
7b8d8487706f501e,1.0,1.0,0.0,0.0,0.0,0.0
88152114a47d5175,1.0,1.0,1.0,0.5278,1.0,0.8032
f6082f18c392582f,1.0,1.0,1.0,0.885,1.0,0.9521
6856c3ad77315d3c,1.0,1.0,0.7718,0.5509,0.9049,0.8129
288ea364ec115f46,1.0,1.0,1.0,0.5531,1.0,0.8138
d4e058ec6a795ef1,1.0,1.0,0.8105,0.7697,0.921,0.904
b432924be8c151d8,1.0,1.0,0.8425,0.8425,0.9344,0.9344
5177cf8521f05855,1.0,1.0,0.9192,0.6779,0.9663,0.8658
b1b1e99705dc5afc,1.0,1.0,0.927,0.8057,0.9696,0.9191
93092fbeb57f5e9a,1.0,1.0,1.0,0.8491,1.0,0.9371
c6c94bd6691c5008,1.0,1.0,1.0,0.7237,0.5833,0.4682
27d74807a89a5268,1.0,1.0,1.0,0.953,1.0,0.9804
12177b43d67d51a7,1.0,1.0,1.0,0.6987,1.0,0.8745
8a5809217c605979,1.0,1.0,0.9858,0.7407,0.9941,0.8919
4d6e0b4cf60f5e98,1.0,1.0,1.0,0.631,1.0,0.8462
a4778444628f5c49,1.0,1.0,1.0,0.7694,1.0,0.9039
83a9fe7e03fd5755,1.0,1.0,0.6573,0.6573,0.8572,0.8572
f4eec162c14e5bfa,1.0,1.0,1.0,0.5661,1.0,0.8192
bb73caa6692856bf,1.0,1.0,1.0,0.7948,1.0,0.9145
535e19c081ec5c28,1.0,1.0,0.8509,0.6799,0.9379,0.8666
530176929c015182,1.0,1.0,1.0,0.8751,1.0,0.9479
88b49de4eea35896,1.0,1.0,0.9025,0.5382,0.9594,0.8076
2696e377ac3e579b,1.0,1.0,0.959,0.5323,0.9829,0.8051
ed7a0f74484d58a8,1.0,1.0,1.0,0.0742,1.0,0.6143
average,1.0,0.9959,0.907,0.6626,0.9267,0.8216
